Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],? [deg],?? [deg]
1,1,1,808,368,0,16,0,0,NA,NA,NA,NA,NA
2,1,2,800,318.667,0,16,49.978,49.978,NA,49.978,NA,-99.211,NA
3,1,3,792,278.667,0,3,90.77,90.755,NA,40.792,NA,-101.31,-2.099
4,1,4,769.333,238.667,0,8,136.746,134.99,NA,45.976,NA,-119.539,-18.229
5,1,5,738.667,206.667,0,9,181.068,175.601,NA,44.322,NA,-133.781,-14.242
6,1,6,698.667,178.667,0,10,229.894,218.634,NA,48.826,NA,-145.008,-11.227
7,1,7,661.333,164,0,14,270.005,251.251,NA,40.111,NA,-158.552,-13.544
8,1,8,618.667,158.667,0,12,313.004,282.254,NA,42.999,NA,-172.875,-14.323
9,1,9,577.333,158.667,0,9,354.337,311.492,NA,41.333,NA,180,-7.125
10,1,10,534.667,170.667,0,5,398.659,337.122,NA,44.322,NA,164.291,-15.709
11,1,11,504,182.667,0,0,431.59,356.04,NA,32.931,NA,158.629,-5.662
12,1,12,472,204,0,0,470.049,373.888,NA,38.459,NA,146.31,-12.319
13,1,13,445.333,229.333,0,2,506.831,388.273,NA,36.782,NA,136.469,-9.841
14,1,14,424,265.333,0,0,548.677,397.488,NA,41.846,NA,120.651,-15.818
15,1,15,406.667,300,0,1,587.436,407.053,NA,38.759,NA,116.565,-4.086
16,1,16,394.667,337.333,0,2,626.65,414.469,NA,39.215,NA,107.819,-8.746
17,1,17,389.333,374.667,0,1,664.363,418.72,NA,37.712,NA,98.13,-9.689
18,1,18,393.333,414.667,0,13,704.562,417.284,NA,40.2,NA,84.289,-13.841
19,1,19,402.667,452,0,21,743.044,413.946,NA,38.482,NA,75.964,-8.326
20,1,20,421.333,492,0,21,787.186,406.063,NA,44.141,NA,64.983,-10.981
21,1,21,450.667,537.333,0,10,841.181,395.425,NA,53.996,NA,57.095,-7.888
22,1,22,496,574.667,0,11,899.909,374.239,NA,58.727,NA,39.472,-17.622
23,1,23,573.333,600,0,1,981.286,329.989,NA,81.377,NA,18.138,-21.334
24,1,24,634.667,597.333,0,7,1042.677,287.469,NA,61.391,NA,-2.49,-20.628
25,1,25,678.667,581.333,0,0,1089.496,249.476,NA,46.819,NA,-19.983,-17.494
26,1,26,732,548,0,7,1152.389,195.387,NA,62.893,NA,-32.005,-12.022
27,1,27,766.667,513.333,0,7,1201.415,151.097,NA,49.026,NA,-45,-12.995
28,1,28,790.667,476,0,12,1245.797,109.382,NA,44.382,NA,-57.265,-12.265
29,1,29,810.667,414.667,0,16,1310.309,46.743,NA,64.512,NA,-71.94,-14.675
30,1,30,808,350.667,0,24,1374.365,17.333,NA,64.056,NA,-92.386,-20.446
31,1,31,786.667,272,0,24,1455.873,98.342,NA,81.508,NA,-105.173,-12.787
32,1,32,748,212,0,10,1527.253,167.141,NA,71.38,NA,-122.8,-17.627
33,1,33,709.333,190.667,0,4,1571.414,202.934,NA,44.161,NA,-151.113,-28.314
34,1,34,666.667,169.333,0,13,1619.117,243.81,NA,47.703,NA,-153.435,-2.322
35,1,35,625.333,164,0,8,1660.793,273.83,NA,41.676,NA,-172.648,-19.213
36,1,36,578.667,166.667,0,5,1707.536,305.17,NA,46.743,NA,176.73,-10.623
37,1,37,533.333,176,0,4,1753.82,335.121,NA,46.284,NA,168.366,-8.363
38,1,38,497.333,193.333,0,0,1793.775,356.402,NA,39.956,NA,154.29,-14.076
39,1,39,466.667,217.333,0,2,1832.717,373.107,NA,38.942,NA,141.953,-12.337
40,1,40,440,249.333,0,5,1874.371,386.66,NA,41.655,NA,129.806,-12.147
41,1,41,421.333,289.333,0,3,1918.513,394.588,NA,44.141,NA,115.017,-14.789
42,1,42,405.333,324,0,12,1956.693,405.064,NA,38.181,NA,114.775,-0.242
43,1,43,392,370.667,0,20,2005.228,416.009,NA,48.534,NA,105.945,-8.83
44,1,44,397.333,425.333,0,2,2060.154,414.65,NA,54.926,NA,84.428,-21.518
45,1,45,413.333,470.667,0,10,2108.228,407.802,NA,48.074,NA,70.56,-13.868
46,1,46,437.333,512,0,11,2156.024,397.655,NA,47.796,NA,59.859,-10.701
47,1,47,482.667,554.667,0,3,2218.278,375.082,NA,62.254,NA,43.264,-16.594
48,1,48,545.333,577.333,0,5,2284.918,335.878,NA,66.64,NA,19.885,-23.379
49,1,49,633.333,576,0,8,2372.928,271.611,NA,88.01,NA,-0.868,-20.753
50,1,50,704,540,0,3,2452.236,200.998,NA,79.308,NA,-26.996,-26.128
51,1,51,730.667,513.333,0,7,2489.948,164.628,NA,37.712,NA,-45,-18.004
52,1,52,757.333,474.667,0,11,2536.919,118.088,NA,46.97,NA,-55.408,-10.408
53,1,53,773.333,436,0,13,2578.765,76.327,NA,41.846,NA,-67.521,-12.113
54,1,54,780,381.333,0,7,2633.837,31.013,NA,55.072,NA,-83.047,-15.526
55,1,55,776,332,0,18,2683.332,48.166,NA,49.495,NA,-94.635,-11.588
56,1,56,762.667,288,0,8,2729.308,91.952,NA,45.976,NA,-106.858,-12.223
57,1,57,740,249.333,0,20,2774.128,136.769,NA,44.821,NA,-120.379,-13.521
58,1,58,706.667,217.333,0,10,2820.336,181.573,NA,46.207,NA,-136.169,-15.79
59,1,59,666.667,196,0,7,2865.669,222.619,NA,45.333,NA,-151.928,-15.758
60,1,60,621.333,181.333,0,10,2913.316,263.987,NA,47.647,NA,-162.072,-10.145
61,1,61,578.667,180,0,5,2956.003,296.543,NA,42.687,NA,-178.21,-16.138
62,1,62,544,193.333,0,5,2993.146,316.551,NA,37.142,NA,158.962,-22.827
63,1,63,512,209.333,0,3,3028.923,335.844,NA,35.777,NA,153.435,-5.528
64,1,64,482.667,236,0,6,3068.566,351.092,NA,39.643,NA,137.726,-15.709
65,1,65,452,265.333,0,14,3111.002,370.508,NA,42.437,NA,136.273,-1.453
66,1,66,428,305.333,0,15,3157.65,385.133,NA,46.648,NA,120.964,-15.309
67,1,67,417.333,353.333,0,16,3206.821,390.942,NA,49.171,NA,102.529,-18.435
68,1,68,424,412,0,5,3265.865,386.513,NA,59.044,NA,83.517,-19.012
69,1,69,442.667,462.667,0,14,3319.861,377.399,NA,53.996,NA,69.775,-13.742
70,1,70,473.333,501.333,0,11,3369.212,360.249,NA,49.351,NA,51.582,-18.193
71,1,71,545.333,536,0,5,3449.123,311.798,NA,79.911,NA,25.71,-25.872
72,1,72,644,526.667,0,9,3548.231,228.191,NA,99.107,NA,-5.404,-31.114
73,1,73,684,506.667,0,10,3592.952,186.023,NA,44.721,NA,-26.565,-21.161
74,1,74,717.333,476,0,6,3638.246,141.012,NA,45.294,NA,-42.614,-16.049
75,1,75,736,438.667,0,6,3679.986,100.885,NA,41.74,NA,-63.435,-20.821
76,1,76,744,394.667,0,10,3724.707,69.333,NA,44.721,NA,-79.695,-16.26
77,1,77,744,345.333,0,14,3774.041,67.895,NA,49.333,NA,-90,-10.305
78,1,78,730.667,306.667,0,13,3814.942,98.703,NA,40.901,NA,-109.026,-19.026
79,1,79,704,274.667,0,2,3856.596,139.739,NA,41.655,NA,-129.806,-20.78
80,1,80,674.667,248,0,11,3896.239,179.382,NA,39.643,NA,-137.726,-7.921
81,1,81,637.333,228,0,16,3938.592,220.742,NA,42.353,NA,-151.821,-14.095
82,1,82,596,226.667,0,7,3979.947,254.792,NA,41.355,NA,-178.152,-26.331
83,1,83,552,222.667,0,10,4024.128,294.377,NA,44.181,NA,-174.806,3.347
84,1,84,520,234.667,0,8,4058.304,317.367,NA,34.176,NA,159.444,-25.75
85,1,85,480,264,0,3,4107.907,344.093,NA,49.603,NA,143.746,-15.698
86,1,86,461.333,302.667,0,9,4150.844,352.769,NA,42.937,NA,115.769,-27.977
87,1,87,448,346.667,0,6,4196.82,360.632,NA,45.976,NA,106.858,-8.911
88,1,88,441.333,386.667,0,10,4237.372,367.142,NA,40.552,NA,99.462,-7.396
