Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],? [deg],?? [deg]
89,1,89,461.333,433.333,0,14,4288.143,352.769,NA,50.772,NA,66.801,-32.661
90,1,90,502.667,484,0,29,4353.531,326.626,NA,65.388,NA,50.793,-16.009
91,1,91,573.333,501.333,0,9,4426.293,269.9,NA,72.761,NA,13.782,-37.011
92,1,92,629.333,492,0,10,4483.065,217.481,NA,56.772,NA,-9.462,-23.244
93,1,93,661.333,470.667,0,10,4521.524,179.029,NA,38.459,NA,-33.69,-24.228
94,1,94,692,433.333,0,4,4569.838,133.133,NA,48.314,NA,-50.599,-16.909
95,1,95,702.667,392,0,9,4612.525,108.033,NA,42.687,NA,-75.53,-24.93
96,1,96,706.667,344,0,13,4660.692,104.137,NA,48.166,NA,-85.236,-9.707
97,1,97,685.333,297.333,0,12,4712.004,141.566,NA,51.312,NA,-114.567,-29.331
98,1,98,646.667,262.667,0,15,4763.935,192.675,NA,51.932,NA,-138.122,-23.555
99,1,99,602.667,249.333,0,7,4809.911,237.157,NA,45.976,NA,-163.142,-25.019
100,1,100,566.667,249.333,0,8,4845.911,268.93,NA,36,NA,180,-16.858
101,1,101,529.333,265.333,0,10,4886.528,296.977,NA,40.617,NA,156.801,-23.199
102,1,102,505.333,289.333,0,6,4920.47,312.723,NA,33.941,NA,135,-21.801
103,1,103,482.667,354.667,0,0,4989.623,325.606,NA,69.154,NA,109.134,-25.866
104,1,104,488,401.333,0,3,5036.594,321.731,NA,46.97,NA,83.48,-25.653
105,1,105,520,452,0,120,5096.519,300,NA,59.926,NA,57.724,-25.756
106,1,106,573.333,465.333,0,8,5151.494,254.052,NA,54.975,NA,14.036,-43.688
107,1,107,614.667,452,0,8,5194.925,210.793,NA,43.431,NA,-17.879,-31.915
108,1,108,645.333,426.667,0,10,5234.702,172.923,NA,39.777,NA,-39.56,-21.681
109,1,109,666.667,393.333,0,10,5274.278,143.586,NA,39.576,NA,-57.381,-17.821
110,1,110,666.667,348,0,10,5319.611,142.741,NA,45.333,NA,-90,-32.619
111,1,111,654.667,310.667,0,14,5358.825,163.702,NA,39.215,NA,-107.819,-17.819
112,1,112,624,290.667,0,8,5395.437,199.591,NA,36.612,NA,-146.889,-39.07
113,1,113,582.667,278.667,0,2,5438.477,242.395,NA,43.04,NA,-163.811,-16.922
114,1,114,530.667,293.333,0,18,5492.506,287.209,NA,54.029,NA,164.249,-31.94
115,1,115,508,336,0,115,5540.82,301.702,NA,48.314,NA,117.979,-46.269
116,1,116,510.667,404,0,156,5608.872,299.505,NA,68.052,NA,87.754,-30.225
117,1,117,548,430.667,0,2,5654.751,267.446,NA,45.879,NA,35.538,-52.217
118,1,118,600,425.333,0,11,5707.024,215.757,NA,52.273,NA,-5.856,-41.394
119,1,119,636,394.667,0,7,5754.315,174.055,NA,47.291,NA,-40.426,-34.57
120,1,120,633.333,350.667,0,16,5798.396,175.525,NA,44.081,NA,-93.468,-53.042
121,1,121,609.333,316,0,21,5840.56,205.359,NA,42.164,NA,-124.695,-31.227
122,1,122,568,304,0,17,5883.6,248.387,NA,43.04,NA,-163.811,-39.116
123,1,123,530.667,313.333,0,38,5922.082,282.67,NA,38.482,NA,165.964,-30.225
124,1,124,521.333,348,0,5,5957.983,287.363,NA,35.901,NA,105.068,-60.895
125,1,125,528,385.333,0,0,5995.907,280.536,NA,37.924,NA,79.875,-25.193
126,1,126,566.667,417.333,0,12,6046.098,246.324,NA,50.191,NA,39.611,-40.265
127,1,127,605.333,400,0,17,6088.472,205.177,NA,42.374,NA,-24.146,-63.756
128,1,128,608,342.667,0,26,6145.867,201.598,NA,57.395,NA,-87.337,-63.191
129,1,129,569.333,314.667,0,26,6193.607,244.553,NA,47.74,NA,-144.09,-56.753
130,1,130,533.333,341.333,0,53,6238.408,275.958,NA,44.801,NA,143.471,-72.439
131,1,131,538.667,377.333,0,10,6274.801,269.495,NA,36.393,NA,81.573,-61.898
132,1,132,561.333,397.333,0,28,6305.03,248.405,NA,30.229,NA,41.424,-40.149
133,1,133,597.333,386.667,0,11,6342.577,211.492,NA,37.547,NA,-16.504,-57.928
134,1,134,597.333,366.667,0,17,6362.577,210.671,NA,20,NA,-90,-73.496
135,1,135,584,345.333,0,21,6387.734,225.144,NA,25.157,NA,-122.005,-32.005
136,1,136,556,332,0,15,6418.746,254.558,NA,31.013,NA,-154.537,-32.531
137,1,137,534.667,353.333,0,108,6448.916,273.727,NA,30.17,NA,135,-70.463
138,1,138,538.667,385.333,0,8,6481.165,269.891,NA,32.249,NA,82.875,-52.125
139,1,139,565.333,396,0,25,6509.886,244.277,NA,28.721,NA,21.801,-61.074
140,1,140,598.667,386.667,0,17,6544.502,210.164,NA,34.615,NA,-15.642,-37.444
141,1,141,600,344,0,19,6587.189,209.38,NA,42.687,NA,-88.21,-72.568
142,1,142,580,330.667,0,22,6611.226,231.036,NA,24.037,NA,-146.31,-58.1
143,1,143,554.667,329.333,0,25,6636.594,256.267,NA,25.368,NA,-176.987,-30.677
144,1,144,544,350.667,0,109,6660.446,264.568,NA,23.851,NA,116.565,-66.448
145,1,145,534.667,381.333,0,1,6692.501,273.658,NA,32.056,NA,106.928,-9.638
146,1,146,576,398.667,0,20,6737.322,234.018,NA,44.821,NA,22.751,-84.177
147,1,147,605.333,377.333,0,11,6773.593,202.881,NA,36.271,NA,-36.027,-58.778
148,1,148,605.333,348,0,15,6802.926,203.651,NA,29.333,NA,-90,-53.973
149,1,149,585.333,329.333,0,20,6830.284,225.999,NA,27.358,NA,-136.975,-46.975
150,1,150,557.333,337.333,0,119,6859.404,252.536,NA,29.12,NA,164.055,-58.97
151,1,151,545.333,362.667,0,7,6887.436,262.721,NA,28.032,NA,115.346,-48.708
152,1,152,552,388,0,9,6913.632,256.78,NA,26.196,NA,75.256,-40.09
153,1,153,576,398.667,0,9,6939.895,234.018,NA,26.264,NA,23.962,-51.294
154,1,154,590.667,393.333,0,18,6955.502,218.805,NA,15.606,NA,-19.983,-43.946
155,2,1,384,348,0,0,0,0,NA,NA,NA,NA,NA
156,2,2,382.667,401.333,0,2,53.35,53.35,NA,53.35,NA,91.432,NA
157,2,3,392,445.333,0,3,98.329,97.662,NA,44.979,NA,78.024,-13.408
158,2,4,416,481.333,0,9,141.596,137.12,NA,43.267,NA,56.31,-21.714
159,2,5,442.667,518.667,0,0,187.475,180.469,NA,45.879,NA,54.462,-1.848
160,2,6,480,549.333,0,2,235.788,223.05,NA,48.314,NA,39.401,-15.062
161,2,7,524,572,0,60,285.284,264.151,NA,49.495,NA,27.255,-12.145
162,2,8,568,585.333,0,3,331.26,300.305,NA,45.976,NA,16.858,-10.397
163,2,9,613.333,589.333,0,6,376.769,332.92,NA,45.509,NA,5.042,-11.816
164,2,10,658.667,578.667,0,10,423.34,358.677,NA,46.571,NA,-13.241,-18.283
165,2,11,706.667,558.667,0,10,475.34,385.349,NA,52,NA,-22.62,-9.379
166,2,12,748,530.667,0,5,525.265,407.263,NA,49.924,NA,-34.114,-11.495
167,2,13,776,492,0,10,573.005,417.612,NA,47.74,NA,-54.09,-19.976
168,2,14,797.333,452,0,16,618.338,426.216,NA,45.333,NA,-61.928,-7.837
169,2,15,813.333,398.667,0,18,674.02,432.313,NA,55.682,NA,-73.301,-11.373
170,2,16,805.333,341.333,0,24,731.909,421.386,NA,57.889,NA,-97.943,-24.643
171,2,17,788,276,0,9,799.502,410.366,NA,67.594,NA,-104.859,-6.915
172,2,18,752,225.333,0,12,861.656,387.906,NA,62.154,NA,-125.395,-20.536
173,2,19,712,193.333,0,9,912.881,362.637,NA,51.225,NA,-141.34,-15.945
174,2,20,653.333,165.333,0,13,977.887,325.434,NA,65.006,NA,-154.486,-13.146
175,2,21,598.667,165.333,0,7,1032.554,281.867,NA,54.667,NA,180,-25.514
176,2,22,546.667,174.667,0,6,1085.385,237.708,NA,52.831,NA,169.824,-10.176
177,2,23,500,185.333,0,7,1133.255,199.791,NA,47.87,NA,167.125,-2.699
178,2,24,466.667,216,0,12,1178.549,155.749,NA,45.294,NA,137.386,-29.739
179,2,25,432,258.667,0,7,1233.524,101.412,NA,54.975,NA,129.094,-8.292
180,2,26,405.333,305.333,0,5,1287.272,47.703,NA,53.748,NA,119.745,-9.349
181,2,27,389.333,350.667,0,5,1335.346,5.963,NA,48.074,NA,109.44,-10.305
182,2,28,389.333,401.333,0,0,1386.013,53.599,NA,50.667,NA,90,-19.44
183,2,29,405.333,453.333,0,11,1440.419,107.472,NA,54.406,NA,72.897,-17.103
184,2,30,442.667,517.333,0,0,1514.512,179.208,NA,74.093,NA,59.744,-13.154
185,2,31,512,572,0,7,1602.804,257.992,NA,88.292,NA,38.254,-21.489
186,2,32,584,582.667,0,5,1675.59,308.332,NA,72.786,NA,8.427,-29.827
187,2,33,656,570.667,0,11,1748.583,351.517,NA,72.993,NA,-9.462,-17.889
188,2,34,717.333,542.667,0,2,1816.005,386.013,NA,67.422,NA,-24.538,-15.075
189,2,35,750.667,500,0,17,1870.149,396.924,NA,54.144,NA,-52.001,-27.464
190,2,36,774.667,464,0,9,1913.416,407.525,NA,43.267,NA,-56.31,-4.309
191,2,37,789.333,420,0,9,1959.796,411.678,NA,46.38,NA,-71.565,-15.255
192,2,38,796,372,0,7,2008.257,412.698,NA,48.461,NA,-82.093,-10.528
193,2,39,786.667,318.667,0,15,2062.401,403.734,NA,54.144,NA,-99.926,-17.833
194,2,40,761.333,265.333,0,4,2121.445,386.283,NA,59.044,NA,-115.408,-15.481
195,2,41,725.333,224,0,11,2176.258,363.159,NA,54.813,NA,-131.055,-15.647
196,2,42,680,193.333,0,1,2230.989,333.973,NA,54.732,NA,-145.923,-14.868
197,2,43,629.333,177.333,0,11,2284.122,298.857,NA,53.133,NA,-162.474,-16.552
198,2,44,574.667,178.667,0,2,2338.805,255.005,NA,54.683,NA,178.603,-18.923
199,2,45,525.333,196,0,4,2391.095,207.555,NA,52.29,NA,160.641,-17.962
200,2,46,482.667,225.333,0,3,2442.872,157.424,NA,51.777,NA,145.491,-15.15
201,2,47,453.333,257.333,0,11,2486.282,114.138,NA,43.41,NA,132.51,-12.981
202,2,48,421.333,301.333,0,11,2540.688,59.762,NA,54.406,NA,126.027,-6.483
203,2,49,408,344,0,12,2585.39,24.331,NA,44.701,NA,107.354,-18.673
204,2,50,402.667,384,0,12,2625.744,40.552,NA,40.354,NA,97.595,-9.759
205,2,51,416,432,0,6,2675.561,89.889,NA,49.817,NA,74.476,-23.119
206,2,52,445.333,480,0,5,2731.815,145.553,NA,56.253,NA,58.57,-15.905
207,2,53,469.333,505.333,0,12,2766.711,178.985,NA,34.897,NA,46.548,-12.022
208,2,54,509.333,529.333,0,1,2813.359,220.432,NA,46.648,NA,30.964,-15.584
209,2,55,557.333,545.333,0,1,2863.955,262.65,NA,50.596,NA,18.435,-12.529
210,2,56,601.333,545.333,0,7,2907.955,293.554,NA,44,NA,0,-18.435
211,2,57,648,534.667,0,10,2955.826,323.327,NA,47.87,NA,-12.875,-12.875
212,2,58,694.667,513.333,0,2,3007.137,351.922,NA,51.312,NA,-24.567,-11.692
213,2,59,728,473.333,0,15,3059.206,366.121,NA,52.068,NA,-50.194,-25.627
214,2,60,746.667,428,0,15,3108.232,371.385,NA,49.026,NA,-67.62,-17.425
215,2,61,756,372,0,12,3165.004,372.773,NA,56.772,NA,-80.538,-12.918
216,2,62,738.667,310.667,0,11,3228.74,356.626,NA,63.736,NA,-105.781,-25.243
217,2,63,706.667,254.667,0,5,3293.238,335.894,NA,64.498,NA,-119.745,-13.964
218,2,64,652,222.667,0,8,3356.582,295.859,NA,63.344,NA,-149.657,-29.912
219,2,65,594.667,212,0,3,3414.899,250.752,NA,58.317,NA,-169.461,-19.804
220,2,66,541.333,224,0,7,3469.565,200.324,NA,54.667,NA,167.32,-23.22
221,2,67,498.667,254.667,0,5,3522.11,147.85,NA,52.544,NA,144.293,-23.026
222,2,68,464,289.333,0,4,3571.136,99.206,NA,49.026,NA,135,-9.293
223,2,69,448,337.333,0,4,3621.732,64.883,NA,50.596,NA,108.435,-26.565
224,2,70,440,378.667,0,3,3663.832,63.847,NA,42.1,NA,100.954,-7.481
225,2,71,453.333,421.333,0,6,3708.534,100.92,NA,44.701,NA,72.646,-28.308
226,2,72,473.333,465.333,0,3,3756.866,147.471,NA,48.332,NA,65.556,-7.09
227,2,73,508,493.333,0,1,3801.428,191.044,NA,44.562,NA,38.928,-26.629
228,2,74,545.333,516,0,1,3845.104,232.922,NA,43.676,NA,31.264,-7.664
229,2,75,625.333,510.667,0,6,3925.281,291.036,NA,80.178,NA,-3.814,-35.078
230,2,76,672,474.667,0,24,3984.22,314.624,NA,58.939,NA,-37.648,-33.834
231,2,77,708,432,0,10,4040.045,334.712,NA,55.825,NA,-49.844,-12.196
232,2,78,722.667,380,0,7,4094.074,340.175,NA,54.029,NA,-74.249,-24.405
233,2,79,712,321.333,0,13,4153.703,329.082,NA,59.628,NA,-100.305,-26.056
234,2,80,677.333,282.667,0,13,4205.634,300.521,NA,51.932,NA,-131.878,-31.573
235,2,81,626.667,244,0,12,4269.37,264.013,NA,63.736,NA,-142.651,-10.773
236,2,82,572,236,0,7,4324.619,218.833,NA,55.249,NA,-171.674,-29.024
237,2,83,532,253.333,0,13,4368.213,175.687,NA,43.594,NA,156.571,-31.754
238,2,84,498.667,280,0,1,4410.9,133.313,NA,42.687,NA,141.34,-15.231
239,2,85,477.333,325.333,0,4,4461.002,96.046,NA,50.102,NA,115.201,-26.139
240,2,86,470.667,372,0,2,4508.143,89.928,NA,47.14,NA,98.13,-17.071
241,2,87,486.667,420,0,4,4558.739,125.397,NA,50.596,NA,71.565,-26.565
242,2,88,510.667,452,0,252,4598.739,163.892,NA,40,NA,53.13,-18.435
243,2,89,557.333,472,0,6,4649.511,213.121,NA,50.772,NA,23.199,-29.932
244,2,90,609.333,468,0,13,4701.665,255.294,NA,52.154,NA,-4.399,-27.597
245,2,91,656,440,0,9,4756.087,287.138,NA,54.422,NA,-30.964,-26.565
246,2,92,678.667,398.667,0,13,4803.227,298.991,NA,47.14,NA,-61.26,-30.296
247,2,93,677.333,341.333,0,8,4860.576,293.409,NA,57.349,NA,-91.332,-30.072
248,2,94,650.667,297.333,0,8,4912.026,271.437,NA,51.45,NA,-121.218,-29.886
249,2,95,597.333,273.333,0,7,4970.511,226.023,NA,58.485,NA,-155.772,-34.554
250,2,96,541.333,282.667,0,10,5027.283,170.359,NA,56.772,NA,170.538,-33.69
251,2,97,512,336,0,108,5088.151,128.561,NA,60.868,NA,118.811,-51.727
252,2,98,514.667,409.333,0,145,5161.533,144.345,NA,73.382,NA,87.917,-30.893
253,2,99,554.667,436,0,11,5209.607,192.019,NA,48.074,NA,33.69,-54.227
254,2,100,600,433.333,0,10,5255.019,232.245,NA,45.412,NA,-3.366,-37.057
255,2,101,634.667,405.333,0,21,5299.581,257.14,NA,44.562,NA,-38.928,-35.561
256,2,102,645.333,364,0,10,5342.268,261.823,NA,42.687,NA,-75.53,-36.602
257,2,103,624,313.333,0,19,5397.243,242.491,NA,54.975,NA,-112.834,-37.304
258,2,104,570.667,298.667,0,9,5452.556,193.076,NA,55.313,NA,-164.624,-51.79
259,2,105,532,333.333,0,62,5504.488,148.725,NA,51.932,NA,138.122,-57.254
260,2,106,537.333,393.333,0,8,5564.724,159.894,NA,60.237,NA,84.92,-53.202
261,2,107,576,412,0,19,5607.661,202.386,NA,42.937,NA,25.769,-59.151
262,2,108,605.333,388,0,14,5645.561,224.919,NA,37.9,NA,-39.289,-65.059
263,2,109,612,352,0,6,5682.173,228.035,NA,36.612,NA,-79.509,-40.219
264,2,110,581.333,324,0,17,5723.7,198.787,NA,41.526,NA,-137.603,-58.094
265,2,111,533.333,350.667,0,8,5778.61,149.357,NA,54.91,NA,150.945,-71.452
266,2,112,544,393.333,0,18,5822.59,166.298,NA,43.98,NA,75.964,-74.982
267,2,113,581.333,404,0,10,5861.417,205.125,NA,38.827,NA,15.945,-60.018
268,2,114,608,362.667,0,13,5910.606,224.48,NA,49.189,NA,-57.171,-73.117
269,2,115,589.333,313.333,0,24,5963.353,208.239,NA,52.747,NA,-110.726,-53.554
270,2,116,548,334.667,0,92,6009.867,164.541,NA,46.514,NA,152.7,-96.574
271,2,117,538.667,368,0,2,6044.482,155.954,NA,34.615,NA,105.642,-47.058
272,2,118,558.667,396,0,24,6078.891,181.142,NA,34.409,NA,54.462,-51.18
273,2,119,601.333,377.333,0,11,6125.463,219.304,NA,46.571,NA,-23.629,-78.092
274,2,120,592,332,0,22,6171.747,208.614,NA,46.284,NA,-101.634,-78.004
275,2,121,544,350.667,0,70,6223.249,160.022,NA,51.502,NA,158.749,-99.617
276,2,122,542.667,382.667,0,15,6255.277,162.41,NA,32.028,NA,92.386,-66.364
277,2,123,592,392,0,18,6305.485,212.603,NA,50.208,NA,10.713,-81.673
278,2,124,600,353.333,0,44,6344.971,216.066,NA,39.486,NA,-78.311,-89.024
279,2,125,576,321.333,0,19,6384.971,193.843,NA,40,NA,-126.87,-48.559
280,2,126,549.333,333.333,0,126,6414.213,165.983,NA,29.242,NA,155.772,-77.358
281,2,127,544,384,0,6,6465.159,164,NA,50.947,NA,96.009,-59.763
282,2,128,578.667,398.667,0,17,6502.801,201.152,NA,37.642,NA,22.932,-73.077
283,2,129,602.667,360,0,39,6548.31,218.996,NA,45.509,NA,-58.173,-81.105
284,2,130,592,325.333,0,14,6584.581,209.231,NA,36.271,NA,-107.103,-48.93
285,2,131,554.667,332,0,127,6622.505,171.415,NA,37.924,NA,169.875,-83.022
286,2,132,541.333,364,0,2,6657.172,158.145,NA,34.667,NA,112.62,-57.255
287,2,133,562.667,396,0,17,6695.631,185.002,NA,38.459,NA,56.31,-56.31
288,2,134,592,398.667,0,17,6725.085,214.082,NA,29.454,NA,5.194,-51.116
