Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],? [deg],?? [deg]
68,1,68,737.333,178.667,0,0.9,3068.618,392.906,NA,50.315,NA,-147.995,-11.085
69,1,69,696,164,0,5.7,3112.476,412.313,NA,43.858,NA,-160.463,-12.469
70,1,70,652,161.333,0,11.9,3156.557,424.379,NA,44.081,NA,-176.532,-16.068
71,1,71,590.667,174.667,0,7.7,3219.323,432.274,NA,62.766,NA,167.735,-15.733
72,1,72,526.667,210.667,0,11.7,3292.753,431.193,NA,73.43,NA,150.642,-17.093
73,1,73,485.333,281.333,0,4,3374.62,401.707,NA,81.867,NA,120.324,-30.319
74,1,74,473.333,329.333,0,13.7,3424.098,377.795,NA,49.477,NA,104.036,-16.287
75,1,75,477.333,385.333,0,10,3480.24,341.359,NA,56.143,NA,85.914,-18.122
76,1,76,496,453.333,0,2,3550.756,292.56,NA,70.516,NA,74.65,-11.265
77,1,77,524,490.667,0,14.1,3597.423,252.982,NA,46.667,NA,53.13,-21.52
78,1,78,560,520,0,7.9,3643.86,210.198,NA,46.438,NA,39.174,-13.956
79,1,79,596,537.333,0,4,3683.816,171.275,NA,39.956,NA,25.71,-13.464
80,1,80,658.667,544,0,16.1,3746.836,108.656,NA,63.02,NA,6.072,-19.637
81,1,81,722.667,529.333,0,6.7,3812.495,58.454,NA,65.659,NA,-12.907,-18.98
82,1,82,756,501.333,0,6.7,3856.028,69.793,NA,43.533,NA,-40.03,-27.123
83,1,83,790.667,470.667,0,10.9,3902.312,103.494,NA,46.284,NA,-41.496,-1.466
84,1,84,813.333,429.333,0,5.9,3949.452,149.696,NA,47.14,NA,-61.26,-19.764
85,1,85,824,392,0,21.9,3988.28,188.472,NA,38.827,NA,-74.055,-12.794
86,1,86,828,354.667,0,23.1,4025.827,225.282,NA,37.547,NA,-83.884,-9.83
87,1,87,822.667,310.667,0,27.1,4070.149,266.537,NA,44.322,NA,-96.911,-13.027
88,1,88,790.667,250.667,0,19.1,4138.149,321.109,NA,68,NA,-118.072,-21.161
89,1,89,758.667,220,0,21.1,4182.471,350.707,NA,44.322,NA,-136.219,-18.146
90,1,90,721.333,194.667,0,3.1,4227.588,378.413,NA,45.117,NA,-145.84,-9.621
91,1,91,678.667,186.667,0,3.7,4270.998,393.367,NA,43.41,NA,-169.38,-23.54
92,1,92,636,186.667,0,5.7,4313.665,404.772,NA,42.667,NA,180,-10.62
93,1,93,597.333,192,0,2.3,4352.698,413.722,NA,39.033,NA,172.147,-7.853
94,1,94,566.667,208,0,6,4387.287,412.877,NA,34.59,NA,152.447,-19.699
95,1,95,541.333,229.333,0,12.1,4420.407,407.54,NA,33.119,NA,139.899,-12.548
96,1,96,518.667,258.667,0,7.7,4457.477,396.904,NA,37.071,NA,127.694,-12.205
97,1,97,498.667,293.333,0,7.2,4497.499,383.817,NA,40.022,NA,119.982,-7.713
98,1,98,492,326.667,0,9.7,4531.493,365.404,NA,33.993,NA,101.31,-18.672
99,1,99,494.667,362.667,0,11.1,4567.591,340.301,NA,36.099,NA,85.764,-15.546
100,1,100,500,408,0,11.8,4613.237,310.091,NA,45.646,NA,83.29,-2.473
101,1,101,509.333,448,0,7.8,4654.312,282.67,NA,41.074,NA,76.866,-6.424
102,1,102,546.667,488,0,14.1,4709.027,232.524,NA,54.715,NA,46.975,-29.891
103,1,103,592,517.333,0,3,4763.023,180.079,NA,53.996,NA,32.905,-14.07
104,1,104,662.667,525.333,0,4.7,4834.141,111.012,NA,71.118,NA,6.459,-26.446
