Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],? [deg],?? [deg]
291,2,122,584,506.667,0,6,5303.736,329.552,NA,56.725,NA,29.578,-35.221
292,2,123,626.667,522.667,0,6.7,5349.304,349.633,NA,45.568,NA,20.556,-9.022
293,2,124,700,516,0,12.7,5422.94,362.048,NA,73.636,NA,-5.194,-25.75
294,2,125,742.667,500,0,6.7,5468.508,365.022,NA,45.568,NA,-20.556,-15.362
295,2,126,788,453.333,0,29.7,5533.569,350.474,NA,65.061,NA,-45.83,-25.274
296,2,127,806.667,404,0,22.9,5586.316,326.261,NA,52.747,NA,-69.274,-23.444
297,2,128,812,349.333,0,31.1,5641.242,295.269,NA,54.926,NA,-84.428,-15.153
298,2,129,801.333,309.333,0,3.1,5682.64,264.609,NA,41.398,NA,-104.931,-20.504
299,2,130,780,269.333,0,9.1,5727.973,227.438,NA,45.333,NA,-118.072,-13.141
300,2,131,745.333,240,0,6.1,5773.385,184.314,NA,45.412,NA,-139.764,-21.691
301,2,132,708,216,0,6.1,5817.767,141.39,NA,44.382,NA,-147.265,-7.501
302,2,133,662.667,212,0,2.7,5863.276,97.068,NA,45.509,NA,-174.958,-27.693
303,2,134,614.667,216,0,7.3,5911.443,57.581,NA,48.166,NA,175.236,-9.806
304,2,135,581.333,241.333,0,11.7,5953.31,64.677,NA,41.868,NA,142.765,-32.471
305,2,136,550.667,262.667,0,11,5990.667,87.96,NA,37.357,NA,145.176,2.41
306,2,137,525.333,302.667,0,9,6038.015,133.739,NA,47.347,NA,122.347,-22.828
307,2,138,513.333,361.333,0,13.7,6097.896,193.126,NA,59.881,NA,101.56,-20.787
308,2,139,526.667,416,0,12.7,6154.165,242.934,NA,56.269,NA,76.293,-25.267
309,2,140,558.667,457.333,0,8.7,6206.438,280.317,NA,52.273,NA,52.253,-24.04
310,2,141,614.667,489.333,0,14.8,6270.936,314.904,NA,64.498,NA,29.745,-22.508
311,2,142,662.667,496,0,1.7,6319.397,331.314,NA,48.461,NA,7.907,-21.838
312,2,143,702.667,485.333,0,1,6360.795,334.571,NA,41.398,NA,-14.931,-22.839
313,2,144,736,464,0,4.1,6400.37,330.263,NA,39.576,NA,-32.619,-17.688
314,2,145,762.667,433.333,0,32.1,6441.01,319.202,NA,40.639,NA,-48.991,-16.372
315,2,146,777.333,397.333,0,1.8,6479.883,300.935,NA,38.873,NA,-67.834,-18.843
316,2,147,788,338.667,0,5.9,6539.511,269.601,NA,59.628,NA,-79.695,-11.861
317,2,148,758.667,269.333,0,24.1,6614.794,208.107,NA,75.283,NA,-112.932,-33.237
318,2,149,722.667,240,0,21.1,6661.232,163.18,NA,46.438,NA,-140.826,-27.894
319,2,150,681.333,232,0,14.1,6703.332,122.238,NA,42.1,NA,-169.046,-28.22
320,2,151,628,238.667,0,16.1,6757.081,83.053,NA,53.748,NA,172.875,-18.079
321,2,152,586.667,265.333,0,6.8,6806.27,89.214,NA,49.189,NA,147.171,-25.704
322,2,153,557.333,300,0,15.1,6851.681,123.54,NA,45.412,NA,130.236,-16.935
323,2,154,545.333,346.667,0,12.1,6899.866,171.42,NA,48.185,NA,104.421,-25.816
324,2,155,549.333,405.333,0,12.7,6958.669,229.124,NA,58.803,NA,86.1,-18.321
325,2,156,585.333,449.333,0,5,7015.52,272.327,NA,56.851,NA,50.711,-35.389
326,2,157,642.667,468,0,88.2,7075.815,299.134,NA,60.296,NA,18.034,-32.676
327,2,158,712,453.333,0,18.8,7146.683,309.477,NA,70.868,NA,-11.944,-29.978
328,2,159,748,417.333,0,33.1,7197.595,297.617,NA,50.912,NA,-45,-33.056
329,2,160,761.333,376,0,23.9,7241.025,274.437,NA,43.431,NA,-72.121,-27.121
330,2,161,756,336,0,25.9,7281.379,242.963,NA,40.354,NA,-97.595,-25.473
331,2,162,745.333,296,0,19.9,7322.777,210.062,NA,41.398,NA,-104.931,-7.337
332,2,163,718.667,268,0,14.8,7361.444,172.428,NA,38.667,NA,-133.603,-28.671
333,2,164,676,253.333,0,4.1,7406.561,128.81,NA,45.117,NA,-161.03,-27.427
334,2,165,625.333,258.667,0,6.8,7457.507,97.26,NA,50.947,NA,173.991,-24.979
335,2,166,586.667,285.333,0,11,7504.478,108.991,NA,46.97,NA,145.408,-28.583
336,2,167,566.667,310.667,0,6.2,7536.754,133.44,NA,32.277,NA,128.29,-17.118
337,2,168,561.333,352,0,3,7578.43,174.992,NA,41.676,NA,97.352,-30.938
338,2,169,572,402.667,0,19.7,7630.208,225.333,NA,51.777,NA,78.111,-19.241
339,2,170,614.667,434.667,0,7.8,7683.541,260.846,NA,53.333,NA,36.87,-41.241
340,2,171,668,445.333,0,0.9,7737.931,284.675,NA,54.39,NA,11.31,-25.56
341,2,172,720,405.333,0,1.2,7803.535,271.823,NA,65.605,NA,-37.569,-48.879
342,2,173,729.333,353.333,0,34.9,7856.366,236.072,NA,52.831,NA,-79.824,-42.256
343,2,174,710.667,309.333,0,34.9,7904.162,191.448,NA,47.796,NA,-112.989,-33.164
344,2,175,673.333,289.333,0,16.1,7946.515,151.038,NA,42.353,NA,-151.821,-38.833
345,2,176,620,300,0,0.9,8000.905,131.724,NA,54.39,NA,168.69,-39.489
