Nr,TID,PID,x,y,t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],? [deg],?? [deg],x [pixel],y [pixel]
1,1,1,65.69105691,29.91869919,0.008333333,16,0,0,NA,NA,NA,NA,NA,808,368
2,1,2,65.04065041,25.90788618,0.016666667,16,49.978,49.978,NA,49.978,NA,-99.211,NA,800,318.667
3,1,3,64.3902439,22.65585366,0.025,3,90.77,90.755,NA,40.792,NA,-101.31,-2.099,792,278.667
4,1,4,62.54739837,19.40382114,0.033333333,8,136.746,134.99,NA,45.976,NA,-119.539,-18.229,769.333,238.667
5,1,5,60.05422764,16.80219512,0.041666667,9,181.068,175.601,NA,44.322,NA,-133.781,-14.242,738.667,206.667
6,1,6,56.80219512,14.52577236,0.05,10,229.894,218.634,NA,48.826,NA,-145.008,-11.227,698.667,178.667
7,1,7,53.76691057,13.33333333,0.058333333,14,270.005,251.251,NA,40.111,NA,-158.552,-13.544,661.333,164
8,1,8,50.29813008,12.8997561,0.066666667,12,313.004,282.254,NA,42.999,NA,-172.875,-14.323,618.667,158.667
9,1,9,46.93764228,12.8997561,0.075,9,354.337,311.492,NA,41.333,NA,180,-7.125,577.333,158.667
10,1,10,43.46886179,13.87536585,0.083333333,5,398.659,337.122,NA,44.322,NA,164.291,-15.709,534.667,170.667
11,1,11,40.97560976,14.85097561,0.091666667,0,431.59,356.04,NA,32.931,NA,158.629,-5.662,504,182.667
12,1,12,38.37398374,16.58536585,0.1,0,470.049,373.888,NA,38.459,NA,146.31,-12.319,472,204
13,1,13,36.20593496,18.64495935,0.108333333,2,506.831,388.273,NA,36.782,NA,136.469,-9.841,445.333,229.333
14,1,14,34.47154472,21.57178862,0.116666667,0,548.677,397.488,NA,41.846,NA,120.651,-15.818,424,265.333
15,1,15,33.06235772,24.3902439,0.125,1,587.436,407.053,NA,38.759,NA,116.565,-4.086,406.667,300
16,1,16,32.08674797,27.42544715,0.133333333,2,626.65,414.469,NA,39.215,NA,107.819,-8.746,394.667,337.333
17,1,17,31.65308943,30.46073171,0.141666667,1,664.363,418.72,NA,37.712,NA,98.13,-9.689,389.333,374.667
18,1,18,31.97829268,33.71276423,0.15,13,704.562,417.284,NA,40.2,NA,84.289,-13.841,393.333,414.667
19,1,19,32.73715447,36.74796748,0.158333333,21,743.044,413.946,NA,38.482,NA,75.964,-8.326,402.667,452
20,1,20,34.25471545,40,0.166666667,21,787.186,406.063,NA,44.141,NA,64.983,-10.981,421.333,492
21,1,21,36.6395935,43.68560976,0.175,10,841.181,395.425,NA,53.996,NA,57.095,-7.888,450.667,537.333
22,1,22,40.32520325,46.72089431,0.183333333,11,899.909,374.239,NA,58.727,NA,39.472,-17.622,496,574.667
23,1,23,46.61243902,48.7804878,0.191666667,1,981.286,329.989,NA,81.377,NA,18.138,-21.334,573.333,600
24,1,24,51.59894309,48.56365854,0.2,7,1042.677,287.469,NA,61.391,NA,-2.49,-20.628,634.667,597.333
25,1,25,55.17617886,47.26284553,0.208333333,0,1089.496,249.476,NA,46.819,NA,-19.983,-17.494,678.667,581.333
26,1,26,59.51219512,44.55284553,0.216666667,7,1152.389,195.387,NA,62.893,NA,-32.005,-12.022,732,548
27,1,27,62.33065041,41.73439024,0.225,7,1201.415,151.097,NA,49.026,NA,-45,-12.995,766.667,513.333
28,1,28,64.28186992,38.69918699,0.233333333,12,1245.797,109.382,NA,44.382,NA,-57.265,-12.265,790.667,476
29,1,29,65.90788618,33.71276423,0.241666667,16,1310.309,46.743,NA,64.512,NA,-71.94,-14.675,810.667,414.667
30,1,30,65.69105691,28.5095122,0.25,24,1374.365,17.333,NA,64.056,NA,-92.386,-20.446,808,350.667
31,1,31,63.95666667,22.11382114,0.258333333,24,1455.873,98.342,NA,81.508,NA,-105.173,-12.787,786.667,272
32,1,32,60.81300813,17.23577236,0.266666667,10,1527.253,167.141,NA,71.38,NA,-122.8,-17.627,748,212
33,1,33,57.66934959,15.50138211,0.275,4,1571.414,202.934,NA,44.161,NA,-151.113,-28.314,709.333,190.667
34,1,34,54.20056911,13.76691057,0.283333333,13,1619.117,243.81,NA,47.703,NA,-153.435,-2.322,666.667,169.333
35,1,35,50.8400813,13.33333333,0.291666667,8,1660.793,273.83,NA,41.676,NA,-172.648,-19.213,625.333,164
36,1,36,47.04609756,13.5501626,0.3,5,1707.536,305.17,NA,46.743,NA,176.73,-10.623,578.667,166.667
37,1,37,43.3604065,14.30894309,0.308333333,4,1753.82,335.121,NA,46.284,NA,168.366,-8.363,533.333,176
38,1,38,40.43357724,15.71813008,0.316666667,0,1793.775,356.402,NA,39.956,NA,154.29,-14.076,497.333,193.333
39,1,39,37.9404065,17.66934959,0.325,2,1832.717,373.107,NA,38.942,NA,141.953,-12.337,466.667,217.333
40,1,40,35.77235772,20.27097561,0.333333333,5,1874.371,386.66,NA,41.655,NA,129.806,-12.147,440,249.333
41,1,41,34.25471545,23.52300813,0.341666667,3,1918.513,394.588,NA,44.141,NA,115.017,-14.789,421.333,289.333
42,1,42,32.95390244,26.34146341,0.35,12,1956.693,405.064,NA,38.181,NA,114.775,-0.242,405.333,324
43,1,43,31.8699187,30.13552846,0.358333333,20,2005.228,416.009,NA,48.534,NA,105.945,-8.83,392,370.667
44,1,44,32.30349593,34.5799187,0.366666667,2,2060.154,414.65,NA,54.926,NA,84.428,-21.518,397.333,425.333
45,1,45,33.60430894,38.26560976,0.375,10,2108.228,407.802,NA,48.074,NA,70.56,-13.868,413.333,470.667
46,1,46,35.55552846,41.62601626,0.383333333,11,2156.024,397.655,NA,47.796,NA,59.859,-10.701,437.333,512
47,1,47,39.24121951,45.09487805,0.391666667,3,2218.278,375.082,NA,62.254,NA,43.264,-16.594,482.667,554.667
48,1,48,44.33601626,46.93764228,0.4,5,2284.918,335.878,NA,66.64,NA,19.885,-23.379,545.333,577.333
49,1,49,51.4904878,46.82926829,0.408333333,8,2372.928,271.611,NA,88.01,NA,-0.868,-20.753,633.333,576
50,1,50,57.23577236,43.90243902,0.416666667,3,2452.236,200.998,NA,79.308,NA,-26.996,-26.128,704,540
51,1,51,59.40382114,41.73439024,0.425,7,2489.948,164.628,NA,37.712,NA,-45,-18.004,730.667,513.333
52,1,52,61.57178862,38.59081301,0.433333333,11,2536.919,118.088,NA,46.97,NA,-55.408,-10.408,757.333,474.667
53,1,53,62.87260163,35.44715447,0.441666667,13,2578.765,76.327,NA,41.846,NA,-67.521,-12.113,773.333,436
54,1,54,63.41463415,31.00268293,0.45,7,2633.837,31.013,NA,55.072,NA,-83.047,-15.526,780,381.333
55,1,55,63.08943089,26.99186992,0.458333333,18,2683.332,48.166,NA,49.495,NA,-94.635,-11.588,776,332
56,1,56,62.00544715,23.41463415,0.466666667,8,2729.308,91.952,NA,45.976,NA,-106.858,-12.223,762.667,288
57,1,57,60.16260163,20.27097561,0.475,20,2774.128,136.769,NA,44.821,NA,-120.379,-13.521,740,249.333
58,1,58,57.45260163,17.66934959,0.483333333,10,2820.336,181.573,NA,46.207,NA,-136.169,-15.79,706.667,217.333
59,1,59,54.20056911,15.93495935,0.491666667,7,2865.669,222.619,NA,45.333,NA,-151.928,-15.758,666.667,196
60,1,60,50.51487805,14.74252033,0.5,10,2913.316,263.987,NA,47.647,NA,-162.072,-10.145,621.333,181.333
61,1,61,47.04609756,14.63414634,0.508333333,5,2956.003,296.543,NA,42.687,NA,-178.21,-16.138,578.667,180
62,1,62,44.22764228,15.71813008,0.516666667,5,2993.146,316.551,NA,37.142,NA,158.962,-22.827,544,193.333
63,1,63,41.62601626,17.01894309,0.525,3,3028.923,335.844,NA,35.777,NA,153.435,-5.528,512,209.333
