Nr,TID,PID,x,y,t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],? [deg],?? [deg],x [pixel],y [pixel]
64,1,64,39.24121951,19.18699187,0.533333333,6,3068.566,351.092,NA,39.643,NA,137.726,-15.709,482.667,236
65,1,65,36.74796748,21.57178862,0.541666667,14,3111.002,370.508,NA,42.437,NA,136.273,-1.453,452,265.333
66,1,66,34.79674797,24.82382114,0.55,15,3157.65,385.133,NA,46.648,NA,120.964,-15.309,428,305.333
67,1,67,33.9295122,28.72626016,0.558333333,16,3206.821,390.942,NA,49.171,NA,102.529,-18.435,417.333,353.333
68,1,68,34.47154472,33.49593496,0.566666667,5,3265.865,386.513,NA,59.044,NA,83.517,-19.012,424,412
69,1,69,35.98918699,37.61520325,0.575,14,3319.861,377.399,NA,53.996,NA,69.775,-13.742,442.667,462.667
70,1,70,38.48235772,40.75878049,0.583333333,11,3369.212,360.249,NA,49.351,NA,51.582,-18.193,473.333,501.333
71,1,71,44.33601626,43.57723577,0.591666667,5,3449.123,311.798,NA,79.911,NA,25.71,-25.872,545.333,536
72,1,72,52.35772358,42.81845528,0.6,9,3548.231,228.191,NA,99.107,NA,-5.404,-31.114,644,526.667
73,1,73,55.6097561,41.19243902,0.608333333,10,3592.952,186.023,NA,44.721,NA,-26.565,-21.161,684,506.667
74,1,74,58.3197561,38.69918699,0.616666667,6,3638.246,141.012,NA,45.294,NA,-42.614,-16.049,717.333,476
75,1,75,59.83739837,35.66398374,0.625,6,3679.986,100.885,NA,41.74,NA,-63.435,-20.821,736,438.667
76,1,76,60.48780488,32.08674797,0.633333333,10,3724.707,69.333,NA,44.721,NA,-79.695,-16.26,744,394.667
77,1,77,60.48780488,28.07585366,0.641666667,14,3774.041,67.895,NA,49.333,NA,-90,-10.305,744,345.333
78,1,78,59.40382114,24.93227642,0.65,13,3814.942,98.703,NA,40.901,NA,-109.026,-19.026,730.667,306.667
79,1,79,57.23577236,22.33065041,0.658333333,2,3856.596,139.739,NA,41.655,NA,-129.806,-20.78,704,274.667
80,1,80,54.85097561,20.16260163,0.666666667,11,3896.239,179.382,NA,39.643,NA,-137.726,-7.921,674.667,248
81,1,81,51.81569106,18.53658537,0.675,16,3938.592,220.742,NA,42.353,NA,-151.821,-14.095,637.333,228
82,1,82,48.45528455,18.42821138,0.683333333,7,3979.947,254.792,NA,41.355,NA,-178.152,-26.331,596,226.667
83,1,83,44.87804878,18.10300813,0.691666667,10,4024.128,294.377,NA,44.181,NA,-174.806,3.347,552,222.667
84,1,84,42.27642276,19.07861789,0.7,8,4058.304,317.367,NA,34.176,NA,159.444,-25.75,520,234.667
85,1,85,39.02439024,21.46341463,0.708333333,3,4107.907,344.093,NA,49.603,NA,143.746,-15.698,480,264
86,1,86,37.50674797,24.60707317,0.716666667,9,4150.844,352.769,NA,42.937,NA,115.769,-27.977,461.333,302.667
87,1,87,36.42276423,28.18430894,0.725,6,4196.82,360.632,NA,45.976,NA,106.858,-8.911,448,346.667
88,1,88,35.88073171,31.43634146,0.733333333,10,4237.372,367.142,NA,40.552,NA,99.462,-7.396,441.333,386.667
89,1,89,37.50674797,35.2303252,0.741666667,14,4288.143,352.769,NA,50.772,NA,66.801,-32.661,461.333,433.333
90,1,90,40.86723577,39.3495935,0.75,29,4353.531,326.626,NA,65.388,NA,50.793,-16.009,502.667,484
91,1,91,46.61243902,40.75878049,0.758333333,9,4426.293,269.9,NA,72.761,NA,13.782,-37.011,573.333,501.333
92,1,92,51.16528455,40,0.766666667,10,4483.065,217.481,NA,56.772,NA,-9.462,-23.244,629.333,492
93,1,93,53.76691057,38.26560976,0.775,10,4521.524,179.029,NA,38.459,NA,-33.69,-24.228,661.333,470.667
94,1,94,56.2601626,35.2303252,0.783333333,4,4569.838,133.133,NA,48.314,NA,-50.599,-16.909,692,433.333
95,1,95,57.12739837,31.8699187,0.791666667,9,4612.525,108.033,NA,42.687,NA,-75.53,-24.93,702.667,392
96,1,96,57.45260163,27.96747967,0.8,13,4660.692,104.137,NA,48.166,NA,-85.236,-9.707,706.667,344
97,1,97,55.71813008,24.17341463,0.808333333,12,4712.004,141.566,NA,51.312,NA,-114.567,-29.331,685.333,297.333
98,1,98,52.57455285,21.35504065,0.816666667,15,4763.935,192.675,NA,51.932,NA,-138.122,-23.555,646.667,262.667
99,1,99,48.99731707,20.27097561,0.825,7,4809.911,237.157,NA,45.976,NA,-163.142,-25.019,602.667,249.333
100,1,100,46.0704878,20.27097561,0.833333333,8,4845.911,268.93,NA,36,NA,180,-16.858,566.667,249.333
101,1,101,43.03520325,21.57178862,0.841666667,10,4886.528,296.977,NA,40.617,NA,156.801,-23.199,529.333,265.333
102,1,102,41.08398374,23.52300813,0.85,6,4920.47,312.723,NA,33.941,NA,135,-21.801,505.333,289.333
103,1,103,39.24121951,28.83471545,0.858333333,0,4989.623,325.606,NA,69.154,NA,109.134,-25.866,482.667,354.667
104,1,104,39.67479675,32.62869919,0.866666667,3,5036.594,321.731,NA,46.97,NA,83.48,-25.653,488,401.333
105,1,105,42.27642276,36.74796748,0.875,120,5096.519,300,NA,59.926,NA,57.724,-25.756,520,452
106,1,106,46.61243902,37.83195122,0.883333333,8,5151.494,254.052,NA,54.975,NA,14.036,-43.688,573.333,465.333
107,1,107,49.97292683,36.74796748,0.891666667,8,5194.925,210.793,NA,43.431,NA,-17.879,-31.915,614.667,452
108,1,108,52.46609756,34.68837398,0.9,10,5234.702,172.923,NA,39.777,NA,-39.56,-21.681,645.333,426.667
109,1,109,54.20056911,31.97829268,0.908333333,10,5274.278,143.586,NA,39.576,NA,-57.381,-17.821,666.667,393.333
110,1,110,54.20056911,28.29268293,0.916666667,10,5319.611,142.741,NA,45.333,NA,-90,-32.619,666.667,348
111,1,111,53.22495935,25.25747967,0.925,14,5358.825,163.702,NA,39.215,NA,-107.819,-17.819,654.667,310.667
112,1,112,50.73170732,23.63146341,0.933333333,8,5395.437,199.591,NA,36.612,NA,-146.889,-39.07,624,290.667
113,1,113,47.37130081,22.65585366,0.941666667,2,5438.477,242.395,NA,43.04,NA,-163.811,-16.922,582.667,278.667
114,1,114,43.14365854,23.84821138,0.95,18,5492.506,287.209,NA,54.029,NA,164.249,-31.94,530.667,293.333
115,1,115,41.30081301,27.31707317,0.958333333,115,5540.82,301.702,NA,48.314,NA,117.979,-46.269,508,336
116,1,116,41.51764228,32.84552846,0.966666667,156,5608.872,299.505,NA,68.052,NA,87.754,-30.225,510.667,404
117,1,117,44.55284553,35.01357724,0.975,2,5654.751,267.446,NA,45.879,NA,35.538,-52.217,548,430.667
118,1,118,48.7804878,34.5799187,0.983333333,11,5707.024,215.757,NA,52.273,NA,-5.856,-41.394,600,425.333
119,1,119,51.70731707,32.08674797,0.991666667,7,5754.315,174.055,NA,47.291,NA,-40.426,-34.57,636,394.667
120,1,120,51.4904878,28.5095122,1,16,5798.396,175.525,NA,44.081,NA,-93.468,-53.042,633.333,350.667
121,1,121,49.53926829,25.69105691,1.008333333,21,5840.56,205.359,NA,42.164,NA,-124.695,-31.227,609.333,316
122,1,122,46.17886179,24.71544715,1.016666667,17,5883.6,248.387,NA,43.04,NA,-163.811,-39.116,568,304
123,1,123,43.14365854,25.47422764,1.025,38,5922.082,282.67,NA,38.482,NA,165.964,-30.225,530.667,313.333
124,1,124,42.38479675,28.29268293,1.033333333,5,5957.983,287.363,NA,35.901,NA,105.068,-60.895,521.333,348
125,1,125,42.92682927,31.32788618,1.041666667,0,5995.907,280.536,NA,37.924,NA,79.875,-25.193,528,385.333
126,1,126,46.0704878,33.9295122,1.05,12,6046.098,246.324,NA,50.191,NA,39.611,-40.265,566.667,417.333
127,1,127,49.21406504,32.5203252,1.058333333,17,6088.472,205.177,NA,42.374,NA,-24.146,-63.756,605.333,400
128,1,128,49.43089431,27.85910569,1.066666667,26,6145.867,201.598,NA,57.395,NA,-87.337,-63.191,608,342.667
129,1,129,46.28723577,25.58268293,1.075,26,6193.607,244.553,NA,47.74,NA,-144.09,-56.753,569.333,314.667
130,1,130,43.3604065,27.75065041,1.083333333,53,6238.408,275.958,NA,44.801,NA,143.471,-72.439,533.333,341.333
131,1,131,43.79406504,30.67747967,1.091666667,10,6274.801,269.495,NA,36.393,NA,81.573,-61.898,538.667,377.333
132,1,132,45.63682927,32.30349593,1.1,28,6305.03,248.405,NA,30.229,NA,41.424,-40.149,561.333,397.333
133,1,133,48.56365854,31.43634146,1.108333333,11,6342.577,211.492,NA,37.547,NA,-16.504,-57.928,597.333,386.667
134,1,134,48.56365854,29.8103252,1.116666667,17,6362.577,210.671,NA,20,NA,-90,-73.496,597.333,366.667
135,1,135,47.4796748,28.07585366,1.125,21,6387.734,225.144,NA,25.157,NA,-122.005,-32.005,584,345.333
136,1,136,45.20325203,26.99186992,1.133333333,15,6418.746,254.558,NA,31.013,NA,-154.537,-32.531,556,332
137,1,137,43.46886179,28.72626016,1.141666667,108,6448.916,273.727,NA,30.17,NA,135,-70.463,534.667,353.333
138,1,138,43.79406504,31.32788618,1.15,8,6481.165,269.891,NA,32.249,NA,82.875,-52.125,538.667,385.333
139,1,139,45.96203252,32.19512195,1.158333333,25,6509.886,244.277,NA,28.721,NA,21.801,-61.074,565.333,396
140,1,140,48.67211382,31.43634146,1.166666667,17,6544.502,210.164,NA,34.615,NA,-15.642,-37.444,598.667,386.667
141,1,141,48.7804878,27.96747967,1.175,19,6587.189,209.38,NA,42.687,NA,-88.21,-72.568,600,344
142,1,142,47.15447154,26.88349593,1.183333333,22,6611.226,231.036,NA,24.037,NA,-146.31,-58.1,580,330.667
143,1,143,45.09487805,26.77504065,1.191666667,25,6636.594,256.267,NA,25.368,NA,-176.987,-30.677,554.667,329.333
144,1,144,44.22764228,28.5095122,1.2,109,6660.446,264.568,NA,23.851,NA,116.565,-66.448,544,350.667
145,1,145,43.46886179,31.00268293,1.208333333,1,6692.501,273.658,NA,32.056,NA,106.928,-9.638,534.667,381.333
146,1,146,46.82926829,32.41195122,1.216666667,20,6737.322,234.018,NA,44.821,NA,22.751,-84.177,576,398.667
147,1,147,49.21406504,30.67747967,1.225,11,6773.593,202.881,NA,36.271,NA,-36.027,-58.778,605.333,377.333
148,1,148,49.21406504,28.29268293,1.233333333,15,6802.926,203.651,NA,29.333,NA,-90,-53.973,605.333,348
149,1,149,47.58804878,26.77504065,1.241666667,20,6830.284,225.999,NA,27.358,NA,-136.975,-46.975,585.333,329.333
150,1,150,45.31162602,27.42544715,1.25,119,6859.404,252.536,NA,29.12,NA,164.055,-58.97,557.333,337.333
151,1,151,44.33601626,29.48512195,1.258333333,7,6887.436,262.721,NA,28.032,NA,115.346,-48.708,545.333,362.667
152,1,152,44.87804878,31.54471545,1.266666667,9,6913.632,256.78,NA,26.196,NA,75.256,-40.09,552,388
153,1,153,46.82926829,32.41195122,1.275,9,6939.895,234.018,NA,26.264,NA,23.962,-51.294,576,398.667
154,1,154,48.02170732,31.97829268,1.283333333,18,6955.502,218.805,NA,15.606,NA,-19.983,-43.946,590.667,393.333
155,2,1,31.2195122,28.29268293,,0,0,0,NA,NA,NA,NA,NA,384,348
156,2,2,31.11113821,32.62869919,,2,53.35,53.35,NA,53.35,NA,91.432,NA,382.667,401.333
157,2,3,31.8699187,36.20593496,,3,98.329,97.662,NA,44.979,NA,78.024,-13.408,392,445.333
158,2,4,33.82113821,39.13276423,,9,141.596,137.12,NA,43.267,NA,56.31,-21.714,416,481.333
159,2,5,35.98918699,42.16804878,,0,187.475,180.469,NA,45.879,NA,54.462,-1.848,442.667,518.667
160,2,6,39.02439024,44.66121951,,2,235.788,223.05,NA,48.314,NA,39.401,-15.062,480,549.333
161,2,7,42.60162602,46.50406504,,60,285.284,264.151,NA,49.495,NA,27.255,-12.145,524,572
162,2,8,46.17886179,47.58804878,,3,331.26,300.305,NA,45.976,NA,16.858,-10.397,568,585.333
163,2,9,49.86447154,47.91325203,,6,376.769,332.92,NA,45.509,NA,5.042,-11.816,613.333,589.333
164,2,10,53.5501626,47.04609756,,10,423.34,358.677,NA,46.571,NA,-13.241,-18.283,658.667,578.667
165,2,11,57.45260163,45.4200813,,10,475.34,385.349,NA,52,NA,-22.62,-9.379,706.667,558.667
166,2,12,60.81300813,43.14365854,,5,525.265,407.263,NA,49.924,NA,-34.114,-11.495,748,530.667
167,2,13,63.08943089,40,,10,573.005,417.612,NA,47.74,NA,-54.09,-19.976,776,492
168,2,14,64.82382114,36.74796748,,16,618.338,426.216,NA,45.333,NA,-61.928,-7.837,797.333,452
169,2,15,66.12463415,32.41195122,,18,674.02,432.313,NA,55.682,NA,-73.301,-11.373,813.333,398.667
170,2,16,65.47422764,27.75065041,,24,731.909,421.386,NA,57.889,NA,-97.943,-24.643,805.333,341.333
171,2,17,64.06504065,22.43902439,,9,799.502,410.366,NA,67.594,NA,-104.859,-6.915,788,276
172,2,18,61.13821138,18.3197561,,12,861.656,387.906,NA,62.154,NA,-125.395,-20.536,752,225.333
173,2,19,57.88617886,15.71813008,,9,912.881,362.637,NA,51.225,NA,-141.34,-15.945,712,193.333
174,2,20,53.11650407,13.44170732,,13,977.887,325.434,NA,65.006,NA,-154.486,-13.146,653.333,165.333
175,2,21,48.67211382,13.44170732,,7,1032.554,281.867,NA,54.667,NA,180,-25.514,598.667,165.333
176,2,22,44.44447154,14.20056911,,6,1085.385,237.708,NA,52.831,NA,169.824,-10.176,546.667,174.667
177,2,23,40.6504065,15.06772358,,7,1133.255,199.791,NA,47.87,NA,167.125,-2.699,500,185.333
178,2,24,37.9404065,17.56097561,,12,1178.549,155.749,NA,45.294,NA,137.386,-29.739,466.667,216
179,2,25,35.12195122,21.0298374,,7,1233.524,101.412,NA,54.975,NA,129.094,-8.292,432,258.667
180,2,26,32.95390244,24.82382114,,5,1287.272,47.703,NA,53.748,NA,119.745,-9.349,405.333,305.333
181,2,27,31.65308943,28.5095122,,5,1335.346,5.963,NA,48.074,NA,109.44,-10.305,389.333,350.667
182,2,28,31.65308943,32.62869919,,0,1386.013,53.599,NA,50.667,NA,90,-19.44,389.333,401.333
183,2,29,32.95390244,36.85634146,,11,1440.419,107.472,NA,54.406,NA,72.897,-17.103,405.333,453.333
184,2,30,35.98918699,42.0595935,,0,1514.512,179.208,NA,74.093,NA,59.744,-13.154,442.667,517.333
185,2,31,41.62601626,46.50406504,,7,1602.804,257.992,NA,88.292,NA,38.254,-21.489,512,572
186,2,32,47.4796748,47.37130081,,5,1675.59,308.332,NA,72.786,NA,8.427,-29.827,584,582.667
187,2,33,53.33333333,46.39569106,,11,1748.583,351.517,NA,72.993,NA,-9.462,-17.889,656,570.667
188,2,34,58.3197561,44.11926829,,2,1816.005,386.013,NA,67.422,NA,-24.538,-15.075,717.333,542.667
189,2,35,61.0298374,40.6504065,,17,1870.149,396.924,NA,54.144,NA,-52.001,-27.464,750.667,500
190,2,36,62.98105691,37.72357724,,9,1913.416,407.525,NA,43.267,NA,-56.31,-4.309,774.667,464
191,2,37,64.17341463,34.14634146,,9,1959.796,411.678,NA,46.38,NA,-71.565,-15.255,789.333,420
192,2,38,64.71544715,30.24390244,,7,2008.257,412.698,NA,48.461,NA,-82.093,-10.528,796,372
193,2,39,63.95666667,25.90788618,,15,2062.401,403.734,NA,54.144,NA,-99.926,-17.833,786.667,318.667
194,2,40,61.89699187,21.57178862,,4,2121.445,386.283,NA,59.044,NA,-115.408,-15.481,761.333,265.333
195,2,41,58.9701626,18.21138211,,11,2176.258,363.159,NA,54.813,NA,-131.055,-15.647,725.333,224
196,2,42,55.28455285,15.71813008,,1,2230.989,333.973,NA,54.732,NA,-145.923,-14.868,680,193.333
197,2,43,51.16528455,14.41731707,,11,2284.122,298.857,NA,53.133,NA,-162.474,-16.552,629.333,177.333
198,2,44,46.72089431,14.52577236,,2,2338.805,255.005,NA,54.683,NA,178.603,-18.923,574.667,178.667
199,2,45,42.71,15.93495935,,4,2391.095,207.555,NA,52.29,NA,160.641,-17.962,525.333,196
200,2,46,39.24121951,18.3197561,,3,2442.872,157.424,NA,51.777,NA,145.491,-15.15,482.667,225.333
201,2,47,36.85634146,20.92138211,,11,2486.282,114.138,NA,43.41,NA,132.51,-12.981,453.333,257.333
202,2,48,34.25471545,24.49861789,,11,2540.688,59.762,NA,54.406,NA,126.027,-6.483,421.333,301.333
203,2,49,33.17073171,27.96747967,,12,2585.39,24.331,NA,44.701,NA,107.354,-18.673,408,344
204,2,50,32.73715447,31.2195122,,12,2625.744,40.552,NA,40.354,NA,97.595,-9.759,402.667,384
205,2,51,33.82113821,35.12195122,,6,2675.561,89.889,NA,49.817,NA,74.476,-23.119,416,432
206,2,52,36.20593496,39.02439024,,5,2731.815,145.553,NA,56.253,NA,58.57,-15.905,445.333,480
207,2,53,38.15715447,41.08398374,,12,2766.711,178.985,NA,34.897,NA,46.548,-12.022,469.333,505.333
208,2,54,41.40918699,43.03520325,,1,2813.359,220.432,NA,46.648,NA,30.964,-15.584,509.333,529.333
209,2,55,45.31162602,44.33601626,,1,2863.955,262.65,NA,50.596,NA,18.435,-12.529,557.333,545.333
210,2,56,48.88886179,44.33601626,,7,2907.955,293.554,NA,44,NA,0,-18.435,601.333,545.333
211,2,57,52.68292683,43.46886179,,10,2955.826,323.327,NA,47.87,NA,-12.875,-12.875,648,534.667
212,2,58,56.47699187,41.73439024,,2,3007.137,351.922,NA,51.312,NA,-24.567,-11.692,694.667,513.333
213,2,59,59.18699187,38.48235772,,15,3059.206,366.121,NA,52.068,NA,-50.194,-25.627,728,473.333
214,2,60,60.70463415,34.79674797,,15,3108.232,371.385,NA,49.026,NA,-67.62,-17.425,746.667,428
215,2,61,61.46341463,30.24390244,,12,3165.004,372.773,NA,56.772,NA,-80.538,-12.918,756,372
216,2,62,60.05422764,25.25747967,,11,3228.74,356.626,NA,63.736,NA,-105.781,-25.243,738.667,310.667
217,2,63,57.45260163,20.70463415,,5,3293.238,335.894,NA,64.498,NA,-119.745,-13.964,706.667,254.667
218,2,64,53.00813008,18.10300813,,8,3356.582,295.859,NA,63.344,NA,-149.657,-29.912,652,222.667
219,2,65,48.34691057,17.23577236,,3,3414.899,250.752,NA,58.317,NA,-169.461,-19.804,594.667,212
220,2,66,44.01081301,18.21138211,,7,3469.565,200.324,NA,54.667,NA,167.32,-23.22,541.333,224
221,2,67,40.54203252,20.70463415,,5,3522.11,147.85,NA,52.544,NA,144.293,-23.026,498.667,254.667
222,2,68,37.72357724,23.52300813,,4,3571.136,99.206,NA,49.026,NA,135,-9.293,464,289.333
223,2,69,36.42276423,27.42544715,,4,3621.732,64.883,NA,50.596,NA,108.435,-26.565,448,337.333
224,2,70,35.77235772,30.78593496,,3,3663.832,63.847,NA,42.1,NA,100.954,-7.481,440,378.667
225,2,71,36.85634146,34.25471545,,6,3708.534,100.92,NA,44.701,NA,72.646,-28.308,453.333,421.333
226,2,72,38.48235772,37.83195122,,3,3756.866,147.471,NA,48.332,NA,65.556,-7.09,473.333,465.333
227,2,73,41.30081301,40.10837398,,1,3801.428,191.044,NA,44.562,NA,38.928,-26.629,508,493.333
228,2,74,44.33601626,41.95121951,,1,3845.104,232.922,NA,43.676,NA,31.264,-7.664,545.333,516
229,2,75,50.8400813,41.51764228,,6,3925.281,291.036,NA,80.178,NA,-3.814,-35.078,625.333,510.667
230,2,76,54.63414634,38.59081301,,24,3984.22,314.624,NA,58.939,NA,-37.648,-33.834,672,474.667
231,2,77,57.56097561,35.12195122,,10,4040.045,334.712,NA,55.825,NA,-49.844,-12.196,708,432
232,2,78,58.75341463,30.89430894,,7,4094.074,340.175,NA,54.029,NA,-74.249,-24.405,722.667,380
233,2,79,57.88617886,26.12463415,,13,4153.703,329.082,NA,59.628,NA,-100.305,-26.056,712,321.333
234,2,80,55.06772358,22.98105691,,13,4205.634,300.521,NA,51.932,NA,-131.878,-31.573,677.333,282.667
235,2,81,50.94853659,19.83739837,,12,4269.37,264.013,NA,63.736,NA,-142.651,-10.773,626.667,244
236,2,82,46.50406504,19.18699187,,7,4324.619,218.833,NA,55.249,NA,-171.674,-29.024,572,236
