Nr,TID,PID,x,y,t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],? [deg],?? [deg],x [pixel],y [pixel]
238,2,69,43.66666667,41.55558333,,11.7,3005.463,324.899,NA,63.736,NA,52.651,-24.821,524,498.667
239,2,70,47,44.22225,,6.9,3056.688,353.424,NA,51.225,NA,38.66,-13.991,564,530.667
240,2,71,51,45.88891667,,3,3108.688,375.47,NA,52,NA,22.62,-16.04,612,550.667
241,2,72,55.88891667,46.44441667,,5,3167.733,392.6,NA,59.044,NA,6.483,-16.137,670.667,557.333
242,2,73,60.33333333,45.33333333,,1,3222.707,396.924,NA,54.975,NA,-14.036,-20.519,724,544
243,2,74,64.55558333,43.11108333,,16.7,3279.963,395.82,NA,57.256,NA,-27.759,-13.722,774.667,517.333
244,2,75,66.55558333,40.88891667,,22.1,3315.839,386.724,NA,35.876,NA,-48.013,-20.254,798.667,490.667
245,2,76,68.44441667,38.11108333,,15.1,3356.149,374.923,NA,40.31,NA,-55.784,-7.772,821.333,457.333
246,2,77,69.44441667,35.77775,,1.8,3386.612,363.041,NA,30.463,NA,-66.801,-11.017,833.333,429.333
247,2,78,70.33333333,33.77775,,41.1,3412.876,354.92,NA,26.264,NA,-66.038,0.764,844,405.333
248,2,79,70.33333333,31,,1,3446.209,334.483,NA,33.333,NA,-90,-23.962,844,372
249,2,80,70.33333333,28.22225,,18.1,3479.543,316.247,NA,33.333,NA,-90,0,844,338.667
250,2,81,70.11108333,25.44441667,,4.1,3512.983,298.202,NA,33.44,NA,-94.574,-4.574,841.333,305.333
251,2,82,69.11108333,22.55558333,,11.1,3549.667,273.736,NA,36.685,NA,-109.093,-14.52,829.333,270.667
252,2,83,67.44441667,20.55558333,,8.1,3580.908,247.253,NA,31.241,NA,-129.806,-20.712,809.333,246.667
253,2,84,65.88891667,18.55558333,,16,3611.313,223.316,NA,30.405,NA,-127.875,1.931,790.667,222.667
254,2,85,63.22225,16.77775,,0,3649.772,188.203,NA,38.459,NA,-146.31,-18.435,758.667,201.333
255,2,86,61,15.55558333,,3.7,3680.206,160.272,NA,30.434,NA,-151.189,-4.879,732,186.667
256,2,87,58.55558333,13.88891667,,5.7,3715.709,131.101,NA,35.503,NA,-145.713,5.476,702.667,166.667
257,2,88,54.88891667,13.66666667,,12.1,3759.79,87.686,NA,44.081,NA,-176.532,-30.819,658.667,164
258,2,89,50.55558333,14.66666667,,5.8,3813.156,34.692,NA,53.367,NA,167.005,-16.463,606.667,176
259,2,90,46.55558333,17,,7.8,3868.726,29.814,NA,55.57,NA,149.744,-17.262,558.667,204
260,2,91,42.33333333,21.33333333,,10,3941.329,101.412,NA,72.602,NA,134.256,-15.488,508,256
261,2,92,40.22225,25.77775,,7.7,4000.373,159.388,NA,59.044,NA,115.408,-18.848,482.667,309.333
262,2,93,39.88891667,30.44441667,,10.1,4056.515,209.893,NA,56.143,NA,94.086,-21.322,478.667,365.333
263,2,94,41,35.77775,,6.7,4121.89,264.394,NA,65.374,NA,78.232,-15.854,492,429.333
264,2,95,43.44441667,40.22225,,11,4182.757,309.509,NA,60.868,NA,61.189,-17.043,521.333,482.667
265,2,96,46.66666667,42.77775,,5.8,4232.109,336.214,NA,49.351,NA,38.418,-22.771,560,513.333
266,2,97,50.11108333,44.22225,,3,4276.929,354.549,NA,44.821,NA,22.751,-15.667,601.333,530.667
267,2,98,53.66666667,44.44441667,,37.1,4319.679,363.208,NA,42.75,NA,3.576,-19.175,644,533.333
268,2,99,56.77775,44.33333333,,12,4357.036,371.136,NA,37.357,NA,-2.045,-5.622,681.333,532
269,2,100,59,44,,6.2,4384.001,376.116,NA,26.965,NA,-8.531,-6.485,708,528
270,2,101,62.55558333,42,,10.8,4432.955,372.334,NA,48.953,NA,-29.358,-20.827,750.667,504
271,2,102,65.44441667,39.55558333,,4.1,4478.367,365.948,NA,45.412,NA,-40.236,-10.879,785.333,474.667
272,2,103,67.44441667,36.44441667,,16.1,4522.749,352.033,NA,44.382,NA,-57.265,-17.028,809.333,437.333
273,2,104,68.11108333,34.22225,,0,4550.59,338.575,NA,27.841,NA,-73.301,-16.036,817.333,410.667
274,2,105,68.77775,30.55558333,,28.1,4595.311,316.267,NA,44.721,NA,-79.695,-6.394,825.333,366.667
275,2,106,68.22225,26.77775,,14.1,4641.132,285.623,NA,45.821,NA,-98.366,-18.671,818.667,321.333
276,2,107,67.33333333,24,,20.1,4676.13,260.659,NA,34.998,NA,-107.745,-9.379,808,288
277,2,108,65.11108333,20.33333333,,3.1,4727.58,219.693,NA,51.45,NA,-121.218,-13.474,781.333,244
278,2,109,62.11108333,18.44441667,,8.1,4770.122,178.831,NA,42.541,NA,-147.804,-26.586,745.333,221.333
279,2,110,59.44441667,16.77775,,5.1,4807.858,143.357,NA,37.736,NA,-147.995,-0.19,713.333,201.333
280,2,111,56.77775,16.11108333,,3.1,4840.843,110.498,NA,32.985,NA,-165.964,-17.969,681.333,193.333
281,2,112,54,16.11108333,,5.2,4874.176,77.666,NA,33.333,NA,180,-14.036,648,193.333
282,2,113,50.66666667,16.33333333,,1.9,4914.265,40.552,NA,40.089,NA,176.186,-3.814,608,196
283,2,114,48.88891667,17.55558333,,2,4940.153,36.417,NA,25.889,NA,145.491,-30.694,586.667,210.667
284,2,115,46.11108333,19.55558333,,7.7,4981.228,60.296,NA,41.074,NA,144.246,-1.245,553.333,234.667
285,2,116,43.88891667,22.22225,,10.7,5022.883,100.178,NA,41.655,NA,129.806,-14.441,526.667,266.667
286,2,117,41.88891667,26,,8,5074.177,151.467,NA,51.294,NA,117.897,-11.908,502.667,312
287,2,118,41.77775,29.33333333,,9.2,5114.199,188.42,NA,40.022,NA,91.909,-25.988,501.333,352
288,2,119,41.88891667,32.66666667,,12.7,5154.221,225.586,NA,40.022,NA,88.091,-3.818,502.667,392
289,2,120,42.77775,36.11108333,,8.7,5196.909,262.636,NA,42.687,NA,75.53,-12.561,513.333,433.333
290,2,121,44.55558333,39.88891667,,13.7,5247.011,303.637,NA,50.102,NA,64.799,-10.731,534.667,478.667
291,2,122,48.66666667,42.22225,,6,5303.736,329.552,NA,56.725,NA,29.578,-35.221,584,506.667
292,2,123,52.22225,43.55558333,,6.7,5349.304,349.633,NA,45.568,NA,20.556,-9.022,626.667,522.667
293,2,124,58.33333333,43,,12.7,5422.94,362.048,NA,73.636,NA,-5.194,-25.75,700,516
294,2,125,61.88891667,41.66666667,,6.7,5468.508,365.022,NA,45.568,NA,-20.556,-15.362,742.667,500
295,2,126,65.66666667,37.77775,,29.7,5533.569,350.474,NA,65.061,NA,-45.83,-25.274,788,453.333
296,2,127,67.22225,33.66666667,,22.9,5586.316,326.261,NA,52.747,NA,-69.274,-23.444,806.667,404
297,2,128,67.66666667,29.11108333,,31.1,5641.242,295.269,NA,54.926,NA,-84.428,-15.153,812,349.333
298,2,129,66.77775,25.77775,,3.1,5682.64,264.609,NA,41.398,NA,-104.931,-20.504,801.333,309.333
299,2,130,65,22.44441667,,9.1,5727.973,227.438,NA,45.333,NA,-118.072,-13.141,780,269.333
300,2,131,62.11108333,20,,6.1,5773.385,184.314,NA,45.412,NA,-139.764,-21.691,745.333,240
301,2,132,59,18,,6.1,5817.767,141.39,NA,44.382,NA,-147.265,-7.501,708,216
302,2,133,55.22225,17.66666667,,2.7,5863.276,97.068,NA,45.509,NA,-174.958,-27.693,662.667,212
303,2,134,51.22225,18,,7.3,5911.443,57.581,NA,48.166,NA,175.236,-9.806,614.667,216
304,2,135,48.44441667,20.11108333,,11.7,5953.31,64.677,NA,41.868,NA,142.765,-32.471,581.333,241.333
305,2,136,45.88891667,21.88891667,,11,5990.667,87.96,NA,37.357,NA,145.176,2.41,550.667,262.667
306,2,137,43.77775,25.22225,,9,6038.015,133.739,NA,47.347,NA,122.347,-22.828,525.333,302.667
307,2,138,42.77775,30.11108333,,13.7,6097.896,193.126,NA,59.881,NA,101.56,-20.787,513.333,361.333
308,2,139,43.88891667,34.66666667,,12.7,6154.165,242.934,NA,56.269,NA,76.293,-25.267,526.667,416
309,2,140,46.55558333,38.11108333,,8.7,6206.438,280.317,NA,52.273,NA,52.253,-24.04,558.667,457.333
310,2,141,51.22225,40.77775,,14.8,6270.936,314.904,NA,64.498,NA,29.745,-22.508,614.667,489.333
311,2,142,55.22225,41.33333333,,1.7,6319.397,331.314,NA,48.461,NA,7.907,-21.838,662.667,496
312,2,143,58.55558333,40.44441667,,1,6360.795,334.571,NA,41.398,NA,-14.931,-22.839,702.667,485.333
313,2,144,61.33333333,38.66666667,,4.1,6400.37,330.263,NA,39.576,NA,-32.619,-17.688,736,464
314,2,145,63.55558333,36.11108333,,32.1,6441.01,319.202,NA,40.639,NA,-48.991,-16.372,762.667,433.333
315,2,146,64.77775,33.11108333,,1.8,6479.883,300.935,NA,38.873,NA,-67.834,-18.843,777.333,397.333
316,2,147,65.66666667,28.22225,,5.9,6539.511,269.601,NA,59.628,NA,-79.695,-11.861,788,338.667
317,2,148,63.22225,22.44441667,,24.1,6614.794,208.107,NA,75.283,NA,-112.932,-33.237,758.667,269.333
318,2,149,60.22225,20,,21.1,6661.232,163.18,NA,46.438,NA,-140.826,-27.894,722.667,240
319,2,150,56.77775,19.33333333,,14.1,6703.332,122.238,NA,42.1,NA,-169.046,-28.22,681.333,232
320,2,151,52.33333333,19.88891667,,16.1,6757.081,83.053,NA,53.748,NA,172.875,-18.079,628,238.667
321,2,152,48.88891667,22.11108333,,6.8,6806.27,89.214,NA,49.189,NA,147.171,-25.704,586.667,265.333
322,2,153,46.44441667,25,,15.1,6851.681,123.54,NA,45.412,NA,130.236,-16.935,557.333,300
323,2,154,45.44441667,28.88891667,,12.1,6899.866,171.42,NA,48.185,NA,104.421,-25.816,545.333,346.667
324,2,155,45.77775,33.77775,,12.7,6958.669,229.124,NA,58.803,NA,86.1,-18.321,549.333,405.333
325,2,156,48.77775,37.44441667,,5,7015.52,272.327,NA,56.851,NA,50.711,-35.389,585.333,449.333
326,2,157,53.55558333,39,,88.2,7075.815,299.134,NA,60.296,NA,18.034,-32.676,642.667,468
327,2,158,59.33333333,37.77775,,18.8,7146.683,309.477,NA,70.868,NA,-11.944,-29.978,712,453.333
328,2,159,62.33333333,34.77775,,33.1,7197.595,297.617,NA,50.912,NA,-45,-33.056,748,417.333
329,2,160,63.44441667,31.33333333,,23.9,7241.025,274.437,NA,43.431,NA,-72.121,-27.121,761.333,376
330,2,161,63,28,,25.9,7281.379,242.963,NA,40.354,NA,-97.595,-25.473,756,336
331,2,162,62.11108333,24.66666667,,19.9,7322.777,210.062,NA,41.398,NA,-104.931,-7.337,745.333,296
332,2,163,59.88891667,22.33333333,,14.8,7361.444,172.428,NA,38.667,NA,-133.603,-28.671,718.667,268
333,2,164,56.33333333,21.11108333,,4.1,7406.561,128.81,NA,45.117,NA,-161.03,-27.427,676,253.333
334,2,165,52.11108333,21.55558333,,6.8,7457.507,97.26,NA,50.947,NA,173.991,-24.979,625.333,258.667
335,2,166,48.88891667,23.77775,,11,7504.478,108.991,NA,46.97,NA,145.408,-28.583,586.667,285.333
336,2,167,47.22225,25.88891667,,6.2,7536.754,133.44,NA,32.277,NA,128.29,-17.118,566.667,310.667
337,2,168,46.77775,29.33333333,,3,7578.43,174.992,NA,41.676,NA,97.352,-30.938,561.333,352
338,2,169,47.66666667,33.55558333,,19.7,7630.208,225.333,NA,51.777,NA,78.111,-19.241,572,402.667
339,2,170,51.22225,36.22225,,7.8,7683.541,260.846,NA,53.333,NA,36.87,-41.241,614.667,434.667
340,2,171,55.66666667,37.11108333,,0.9,7737.931,284.675,NA,54.39,NA,11.31,-25.56,668,445.333
341,2,172,60,33.77775,,1.2,7803.535,271.823,NA,65.605,NA,-37.569,-48.879,720,405.333
342,2,173,60.77775,29.44441667,,34.9,7856.366,236.072,NA,52.831,NA,-79.824,-42.256,729.333,353.333
343,2,174,59.22225,25.77775,,34.9,7904.162,191.448,NA,47.796,NA,-112.989,-33.164,710.667,309.333
344,2,175,56.11108333,24.11108333,,16.1,7946.515,151.038,NA,42.353,NA,-151.821,-38.833,673.333,289.333
345,2,176,51.66666667,25,,0.9,8000.905,131.724,NA,54.39,NA,168.69,-39.489,620,300
